"ENST_Nested"	"ENST_Host"	"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"	"Host_mouse_ortholog"	"Nested_mouse_ortholog"
"1343"	"ENST00000364054.1"	"ENST00000260665.12"	"chr2"	44119828	44119935	"RNU6-1048P"	"+"	"snRNA"	"chr2"	44113362	44223128	"LRPPRC"	"-"	"protein_coding"	107	"opposite"	"10792_ID"	"Lrpprc"	"Gm23453"
"1344"	"ENST00000364056.1"	"ENST00000368851.10"	"chr6"	111412415	111412535	"RNU6-960P"	"-"	"snRNA"	"chr6"	111408705	111552397	"SLC16A10"	"+"	"protein_coding"	120	"opposite"	"11638_ID"	"Slc16a10"	"Gm22087"
"1350"	"ENST00000364089.1"	"ENST00000394800.6"	"chr5"	138614469	138614667	"SNORA74A"	"+"	"snoRNA"	"chr5"	138609792	138667360	"MATR3"	"+"	"protein_coding"	198	"same"	"12209_ID"	"Matr3"	"Snora74a"
"1351"	"ENST00000364089.1"	"ENST00000509400.5"	"chr5"	138614469	138614667	"SNORA74A"	"+"	"snoRNA"	"chr5"	138456723	138629223	"SIL1"	"-"	"processed_transcript"	198	"opposite"	"12208_ID"	"Sil1"	"Snora74a"
"1353"	"ENST00000364089.1"	"ENST00000394800.6"	"chr5"	138614469	138614667	"SNORA74A"	"+"	"snoRNA"	"chr5"	138609792	138667360	"MATR3"	"+"	"protein_coding"	198	"same"	"12209_ID"	"Snhg4"	"Snora74a"
"1365"	"ENST00000364158.1"	"ENST00000356415.5"	"chr1"	112193052	112193159	"RNU6-151P"	"-"	"snRNA"	"chr1"	112084839	112255735	"RAP1A"	"+"	"protein_coding"	107	"opposite"	"11036_ID"	"Rap1a"	"U6"
"1374"	"ENST00000364249.1"	"ENST00000638717.1"	"chr6"	145784373	145784535	"RNU1-33P"	"-"	"snRNA"	"chr6"	145703670	146056417	"EPM2A"	"-"	"protein_coding"	162	"same"	"10580_ID"	"Epm2a"	"Gm25411"
"1380"	"ENST00000364285.1"	"ENST00000376131.8"	"chr13"	102431233	102431398	"RNU1-24P"	"-"	"snRNA"	"chr13"	102363153	103054124	"FGF14"	"-"	"protein_coding"	165	"same"	"10574_ID"	"Fgf14"	"U1"
"1385"	"ENST00000364309.1"	"ENST00000393651.8"	"chr7"	104973236	104973343	"RNU6-1322P"	"+"	"snRNA"	"chr7"	104756820	105029368	"SRPK2"	"-"	"protein_coding"	107	"opposite"	"11006_ID"	"Srpk2"	"Gm22021"
"1386"	"ENST00000364310.1"	"ENST00000217246.8"	"chr20"	15003497	15003604	"RNU6-115P"	"+"	"snRNA"	"chr20"	13976014	16033842	"MACROD2"	"+"	"protein_coding"	107	"same"	"10867_ID"	"Macrod2"	"Gm26279"
"1391"	"ENST00000364328.1"	"ENST00000347140.7"	"chr12"	57809078	57809186	"RNU6-879P"	"+"	"snRNA"	"chr12"	57647546	57824788	"R3HDM2"	"-"	"protein_coding"	108	"opposite"	"11578_ID"	"R3hdm2"	"U6"
"1405"	"ENST00000364394.1"	"ENST00000274065.9"	"chr4"	152023208	152023280	"SNORD73"	"+"	"snoRNA"	"chr4"	152020779	152025794	"RPS3A"	"+"	"protein_coding"	72	"same"	"12444_ID"	"Rps3a1"	"Snord73b"
"1412"	"ENST00000364421.1"	"ENST00000393004.6"	"chr6"	76183453	76183610	"RNU1-34P"	"-"	"snRNA"	"chr6"	76001574	76203345	"FILIP1"	"-"	"protein_coding"	157	"same"	"10581_ID"	"Filip1"	"Gm26505"
"1413"	"ENST00000364421.1"	"ENST00000393004.6"	"chr6"	76183453	76183610	"RNU1-34P"	"-"	"snRNA"	"chr6"	76001574	76203345	"FILIP1"	"-"	"protein_coding"	157	"same"	"10581_ID"	"Filip1"	"Gm25184"
"1417"	"ENST00000364432.1"	"ENST00000361436.10"	"chr9"	130210779	130210909	"SNORA65"	"-"	"snoRNA"	"chr9"	130209952	130213685	"RPL12"	"-"	"protein_coding"	130	"same"	"12193_ID"	"Rpl12"	"Gm24613"
"1418"	"ENST00000364432.1"	"ENST00000361436.10"	"chr9"	130210779	130210909	"SNORA65"	"-"	"snoRNA"	"chr9"	130209952	130213685	"RPL12"	"-"	"protein_coding"	130	"same"	"12193_ID"	"Rpl12"	"Gm22807"
"1419"	"ENST00000364432.1"	"ENST00000361436.10"	"chr9"	130210779	130210909	"SNORA65"	"-"	"snoRNA"	"chr9"	130209952	130213685	"RPL12"	"-"	"protein_coding"	130	"same"	"12193_ID"	"Rpl12"	"Gm26440"
"1420"	"ENST00000364432.1"	"ENST00000361436.10"	"chr9"	130210779	130210909	"SNORA65"	"-"	"snoRNA"	"chr9"	130209952	130213685	"RPL12"	"-"	"protein_coding"	130	"same"	"12193_ID"	"Rpl12"	"Gm25379"
"1426"	"ENST00000364460.1"	"ENST00000355973.7"	"chr6"	29550025	29550109	"SNORD32B"	"+"	"snoRNA"	"chr6"	29523405	29595815	"GABBR1"	"-"	"protein_coding"	84	"opposite"	"12397_ID"	"Gabbr1"	"SNORD33"
"1429"	"ENST00000364472.1"	"ENST00000355897.10"	"chr3"	169775088	169775217	"RNU4-38P"	"+"	"snRNA"	"chr3"	169755782	169803180	"GPR160"	"+"	"protein_coding"	129	"same"	"10680_ID"	"Gpr160"	"Gm23429"
"1430"	"ENST00000364478.1"	"ENST00000637919.1"	"chr20"	8811832	8812040	"RNU105B"	"+"	"snoRNA"	"chr20"	8057897	8863846	"PLCB1"	"+"	"protein_coding"	208	"same"	"10613_ID"	"Plcb1"	"Gm24533"
"1440"	"ENST00000364533.1"	"ENST00000526895.5"	"chr11"	17097325	17097415	"SNORD14B"	"-"	"snoRNA"	"chr11"	17095935	17099253	"RPS13"	"-"	"processed_transcript"	90	"same"	"12373_ID"	"Rps13"	"Snord14a"
"1445"	"ENST00000364571.1"	"ENST00000426755.5"	"chr3"	196435729	196435835	"RNU6-646P"	"-"	"snRNA"	"chr3"	196366645	196457964	"PIGX"	"+"	"protein_coding"	106	"opposite"	"11405_ID"	"Pigx"	"Gm23656"
"1446"	"ENST00000364571.1"	"ENST00000409690.5"	"chr3"	196435729	196435835	"RNU6-646P"	"-"	"snRNA"	"chr3"	196433147	196439121	"CEP19"	"-"	"protein_coding"	106	"same"	"11404_ID"	"Cep19"	"Gm23656"
"1450"	"ENST00000364587.1"	"ENST00000372858.8"	"chr1"	40033045	40033180	"SNORA55"	"-"	"snoRNA"	"chr1"	40026487	40042462	"PABPC4"	"-"	"protein_coding"	135	"same"	"12184_ID"	"Pabpc4"	"Gm26048"
"1456"	"ENST00000364617.1"	"ENST00000319942.8"	"chr1"	76255161	76255233	"SNORD45B"	"+"	"snoRNA"	"chr1"	76251940	76260771	"RABGGTB"	"+"	"protein_coding"	72	"same"	"12409_ID"	"Rabggtb"	"Snord45b"
"1457"	"ENST00000364626.1"	"ENST00000282908.10"	"chr4"	5460307	5460608	"RN7SKP275"	"-"	"misc_RNA"	"chr4"	5053206	5502716	"STK32B"	"+"	"protein_coding"	301	"opposite"	"9873_ID"	"Stk32b"	"7SK"
"1458"	"ENST00000364626.1"	"ENST00000282908.10"	"chr4"	5460307	5460608	"RN7SKP275"	"-"	"misc_RNA"	"chr4"	5053206	5502716	"STK32B"	"+"	"protein_coding"	301	"opposite"	"9873_ID"	"Stk32b"	"7SK"
"1460"	"ENST00000364640.1"	"ENST00000563290.6"	"chr15"	77028981	77029321	"RN7SKP217"	"+"	"misc_RNA"	"chr15"	76640244	77197681	"SCAPER"	"-"	"protein_coding"	340	"opposite"	"9827_ID"	"Scaper"	"7SK"
"1463"	"ENST00000364649.1"	"ENST00000341776.7"	"chr6"	15324597	15324703	"RNU6-645P"	"-"	"snRNA"	"chr6"	15246299	15522273	"JARID2"	"+"	"protein_coding"	106	"opposite"	"11403_ID"	"Jarid2"	"Gm24668"
"1464"	"ENST00000364662.1"	"ENST00000394817.7"	"chr5"	138348017	138348130	"RNA5SP194"	"+"	"rRNA"	"chr5"	138282412	138534057	"SIL1"	"-"	"protein_coding"	113	"opposite"	"10509_ID"	"Sil1"	"5S_rRNA"
"1472"	"ENST00000364700.1"	"ENST00000302541.11"	"chr3"	40011615	40011757	"RNU4-56P"	"+"	"snRNA"	"chr3"	39851099	40301812	"MYRIP"	"+"	"protein_coding"	142	"same"	"10696_ID"	"Myrip"	"Gm25284"
"1473"	"ENST00000364704.1"	"ENST00000678241.1"	"chr2"	231998175	231998344	"RNU1-93P"	"+"	"snRNA"	"chr2"	231921562	232037830	"PSMD1"	"+"	"nonsense_mediated_decay"	169	"same"	"10611_ID"	"Psmd1"	"U1"
"1474"	"ENST00000364704.1"	"ENST00000678241.1"	"chr2"	231998175	231998344	"RNU1-93P"	"+"	"snRNA"	"chr2"	231921562	232037830	"PSMD1"	"+"	"nonsense_mediated_decay"	169	"same"	"10611_ID"	"Psmd1"	"Gm23845"
"1475"	"ENST00000364704.1"	"ENST00000678241.1"	"chr2"	231998175	231998344	"RNU1-93P"	"+"	"snRNA"	"chr2"	231921562	232037830	"PSMD1"	"+"	"nonsense_mediated_decay"	169	"same"	"10611_ID"	"Psmd1"	"Gm23054"
"1476"	"ENST00000364704.1"	"ENST00000678241.1"	"chr2"	231998175	231998344	"RNU1-93P"	"+"	"snRNA"	"chr2"	231921562	232037830	"PSMD1"	"+"	"nonsense_mediated_decay"	169	"same"	"10611_ID"	"Psmd1"	"Gm24041"
"1477"	"ENST00000364704.1"	"ENST00000678241.1"	"chr2"	231998175	231998344	"RNU1-93P"	"+"	"snRNA"	"chr2"	231921562	232037830	"PSMD1"	"+"	"nonsense_mediated_decay"	169	"same"	"10611_ID"	"Psmd1"	"Gm24621"
"1478"	"ENST00000364704.1"	"ENST00000678241.1"	"chr2"	231998175	231998344	"RNU1-93P"	"+"	"snRNA"	"chr2"	231921562	232037830	"PSMD1"	"+"	"nonsense_mediated_decay"	169	"same"	"10611_ID"	"Psmd1"	"U1"
"1480"	"ENST00000364711.1"	"ENST00000379789.8"	"chr10"	6191585	6191903	"RN7SKP78"	"+"	"misc_RNA"	"chr10"	6186896	6277495	"PFKFB3"	"+"	"protein_coding"	318	"same"	"9922_ID"	"Pfkfb3"	"7SK"
"1481"	"ENST00000364711.1"	"ENST00000379789.8"	"chr10"	6191585	6191903	"RN7SKP78"	"+"	"misc_RNA"	"chr10"	6186896	6277495	"PFKFB3"	"+"	"protein_coding"	318	"same"	"9922_ID"	"Pfkfb3"	"7SK"
"1489"	"ENST00000364739.1"	"ENST00000648702.1"	"chr1"	19837086	19837227	"RNU4-28P"	"+"	"snRNA"	"chr1"	19810896	19953124	"MICOS10"	"+"	"protein_coding"	141	"same"	"10671_ID"	"Micos10"	"Gm26254"
"1490"	"ENST00000364746.1"	"ENST00000397111.9"	"chr11"	3069588	3069751	"RNU1-91P"	"-"	"snRNA"	"chr11"	3022151	3078843	"CARS1"	"-"	"protein_coding"	163	"same"	"10610_ID"	"Cars"	"U1"
"1492"	"ENST00000364753.1"	"ENST00000504830.6"	"chr5"	33888160	33888267	"RNU6-923P"	"-"	"snRNA"	"chr5"	33523639	33892095	"ADAMTS12"	"-"	"protein_coding"	107	"same"	"11613_ID"	"Adamts12"	"Gm23622"
"1500"	"ENST00000364792.1"	"ENST00000492622.6"	"chr13"	49562050	49562153	"RNU6-60P"	"+"	"snRNA"	"chr13"	49550047	49783915	"FNDC3A"	"+"	"protein_coding"	103	"same"	"11378_ID"	"Fndc3a"	"Gm23503"
"1508"	"ENST00000364817.1"	"ENST00000003302.8"	"chr11"	113730067	113730171	"RNU6-1107P"	"+"	"snRNA"	"chr11"	113668595	113746292	"USP28"	"-"	"protein_coding"	104	"opposite"	"10834_ID"	"Usp28"	"U6"
"1509"	"ENST00000364817.1"	"ENST00000003302.8"	"chr11"	113730067	113730171	"RNU6-1107P"	"+"	"snRNA"	"chr11"	113668595	113746292	"USP28"	"-"	"protein_coding"	104	"opposite"	"10834_ID"	"Usp28"	"Gm22491"
"1525"	"ENST00000364902.1"	"ENST00000395655.8"	"chr7"	45144504	45144641	"SNORA5C"	"-"	"snoRNA"	"chr7"	45139698	45151646	"TBRG4"	"-"	"protein_coding"	137	"same"	"12190_ID"	"Tbrg4"	"Snora5c"
"1526"	"ENST00000364915.1"	"ENST00000376185.5"	"chr6"	31504150	31504226	"SNORD117"	"-"	"snoRNA"	"chr6"	31497995	31514359	"ATP6V1G2-DDX39B"	"-"	"nonsense_mediated_decay"	76	"same"	"12356_ID"	"Atp6v1g2"	"Gm25128"
"1527"	"ENST00000364915.1"	"ENST00000458640.5"	"chr6"	31504150	31504226	"SNORD117"	"-"	"snoRNA"	"chr6"	31497995	31510225	"DDX39B"	"-"	"protein_coding"	76	"same"	"12357_ID"	"Ddx39b"	"Gm25128"
"1533"	"ENST00000364943.1"	"ENST00000458054.1"	"chr2"	196535095	196535198	"RNU6-915P"	"-"	"snRNA"	"chr2"	196440700	196545144	"SLC39A10"	"+"	"protein_coding"	103	"opposite"	"11609_ID"	"Slc39a10"	"Gm22783"
"1534"	"ENST00000364943.1"	"ENST00000458054.1"	"chr2"	196535095	196535198	"RNU6-915P"	"-"	"snRNA"	"chr2"	196440700	196545144	"SLC39A10"	"+"	"protein_coding"	103	"opposite"	"11609_ID"	"Slc39a10"	"Gm25186"
"1545"	"ENST00000364977.1"	"ENST00000375915.4"	"chr13"	107973242	107973311	"SNORD31"	"-"	"snoRNA"	"chr13"	107815857	108519844	"FAM155A"	"-"	"protein_coding"	69	"same"	"12395_ID"	"Fam155a"	"Gm23246"
"1546"	"ENST00000364982.1"	"ENST00000269216.10"	"chr18"	19760072	19760179	"RNU6-702P"	"-"	"snRNA"	"chr18"	19749549	19782491	"GATA6"	"+"	"protein_coding"	107	"opposite"	"11441_ID"	"Gata6"	"Gm25322"
"1547"	"ENST00000364999.1"	"ENST00000334025.3"	"chr5"	63869395	63869497	"RNU6-294P"	"+"	"snRNA"	"chr5"	63801841	63908146	"RGS7BP"	"+"	"protein_coding"	102	"same"	"11135_ID"	"Rgs7bp"	"Gm23421"
"1548"	"ENST00000365012.1"	"ENST00000379607.10"	"chrX"	20154183	20154253	"snoU2-30"	"-"	"snoRNA"	"chrX"	20142642	20159956	"EIF1AX"	"-"	"protein_coding"	70	"same"	"12473_ID"	"Eif1ax"	"Scarna9"
"1551"	"ENST00000365039.1"	"ENST00000637214.1"	"chr12"	13612603	13612710	"RNU6-590P"	"-"	"snRNA"	"chr12"	13590875	13761605	"GRIN2B"	"-"	"protein_coding"	107	"same"	"11362_ID"	"Grin2b"	"Gm25482"
"1565"	"ENST00000365128.1"	"ENST00000379719.8"	"chr11"	9450319	9450501	"SNORA23"	"+"	"snoRNA"	"chr11"	9406198	9469674	"IPO7"	"+"	"protein_coding"	182	"same"	"12163_ID"	"Ipo7"	"Snora23"
"1569"	"ENST00000365147.1"	"ENST00000502484.6"	"chr5"	59599873	59599978	"RNU6-806P"	"-"	"snRNA"	"chr5"	58270483	59783903	"PDE4D"	"-"	"protein_coding"	105	"same"	"11514_ID"	"Pde4d"	"Gm24263"
"1570"	"ENST00000365155.1"	"ENST00000367478.9"	"chr1"	186280956	186281060	"RNU6-1240P"	"-"	"snRNA"	"chr1"	186280783	186344385	"TPR"	"-"	"protein_coding"	104	"same"	"10939_ID"	"Tpr"	"Gm22359"
"1571"	"ENST00000365155.1"	"ENST00000445192.7"	"chr1"	186280956	186281060	"RNU6-1240P"	"-"	"snRNA"	"chr1"	186265410	186283699	"PRG4"	"+"	"protein_coding"	104	"opposite"	"10940_ID"	"Prg4"	"Gm22359"
"1573"	"ENST00000365161.1"	"ENST00000396651.8"	"chr1"	45243514	45243584	"SNORD38A"	"+"	"snoRNA"	"chr1"	45241211	45244451	"RPS8"	"+"	"protein_coding"	70	"same"	"12404_ID"	"Rps8"	"Snord38a"
"1574"	"ENST00000365164.1"	"ENST00000393630.8"	"chr12"	62939361	62939459	"RNU6-399P"	"-"	"snRNA"	"chr12"	62860605	62994256	"MON2"	"+"	"protein_coding"	98	"opposite"	"11207_ID"	"Mon2"	"Gm25401"
"1591"	"ENST00000365280.1"	"ENST00000252015.3"	"chr20"	33618119	33618223	"RNU6-407P"	"-"	"snRNA"	"chr20"	33590206	33680610	"TRPC4AP"	"-"	"protein_coding"	104	"same"	"11217_ID"	"Trpc4ap"	"Gm26441"
"1592"	"ENST00000365289.1"	"ENST00000648908.2"	"chr18"	55422625	55422732	"RNU6-742P"	"+"	"snRNA"	"chr18"	55313657	55470547	"ATP8B1"	"-"	"protein_coding"	107	"opposite"	"11469_ID"	"Atp8b1"	"Gm23545"
"1601"	"ENST00000365357.1"	"ENST00000449090.6"	"chr2"	48729060	48729163	"RNU6-282P"	"-"	"snRNA"	"chr2"	48667907	48742530	"PPP1R21"	"+"	"protein_coding"	103	"opposite"	"11125_ID"	"Ppp1r21"	"Gm26371"
"1603"	"ENST00000365367.1"	"ENST00000266943.11"	"chr13"	29277838	29277944	"RNU6-53P"	"-"	"snRNA"	"chr13"	29274216	29293107	"SLC46A3"	"-"	"protein_coding"	106	"same"	"11322_ID"	"Slc46a3"	"Gm23678"
"1607"	"ENST00000365382.1"	"ENST00000453788.6"	"chr11"	122930042	122930130	"SNORD14C"	"-"	"snoRNA"	"chr11"	122928196	122933043	"HSPA8"	"-"	"protein_coding"	88	"same"	"12374_ID"	"Hspa8"	"Snord14c"
"1616"	"ENST00000365444.1"	"ENST00000323981.6"	"chr11"	93464667	93464740	"SNORD6"	"-"	"snoRNA"	"chr11"	93463113	93474660	"TAF1D"	"-"	"nonsense_mediated_decay"	73	"same"	"12435_ID"	"Taf1d"	"Gm24357"
"1624"	"ENST00000365530.1"	"ENST00000461347.5"	"chr2"	232325081	232325151	"SNORD82"	"-"	"snoRNA"	"chr2"	232319618	232348352	"NCL"	"-"	"retained_intron"	70	"same"	"12449_ID"	"Ncl"	"Snord82"
"1629"	"ENST00000365545.1"	"ENST00000377205.6"	"chr1"	10007375	10007694	"RN7SKP269"	"+"	"misc_RNA"	"chr1"	10003532	10045556	"NMNAT1"	"+"	"protein_coding"	319	"same"	"9868_ID"	"Nmnat1"	"7SK"
"1630"	"ENST00000365545.1"	"ENST00000377205.6"	"chr1"	10007375	10007694	"RN7SKP269"	"+"	"misc_RNA"	"chr1"	10003532	10045556	"NMNAT1"	"+"	"protein_coding"	319	"same"	"9868_ID"	"Nmnat1"	"7SK"
"1633"	"ENST00000365558.1"	"ENST00000351747.6"	"chr3"	57521978	57522085	"RNU6-108P"	"-"	"snRNA"	"chr3"	57327726	57530071	"DNAH12"	"-"	"protein_coding"	107	"same"	"10824_ID"	"Dnah12"	"Gm22591"
"1634"	"ENST00000365559.1"	"ENST00000412979.1"	"chr2"	128229809	128229991	"RNU4-48P"	"+"	"snRNA"	"chr2"	128193782	128244194	"IWS1"	"-"	"nonsense_mediated_decay"	182	"opposite"	"10686_ID"	"Iws1"	"Gm26478"
"1640"	"ENST00000365609.1"	"ENST00000534855.5"	"chr2"	25192256	25192346	"SNORD14"	"-"	"snoRNA"	"chr2"	25166504	25194963	"DNAJC27"	"-"	"protein_coding"	90	"same"	"12371_ID"	"Dnajc27"	"Snord14a"
"1649"	"ENST00000365662.1"	"ENST00000272645.9"	"chr2"	128602809	128602915	"RNU6-395P"	"+"	"snRNA"	"chr2"	128601126	128615729	"POLR2D"	"-"	"protein_coding"	106	"opposite"	"11202_ID"	"Polr2d"	"Gm25985"
"1663"	"ENST00000366425.4"	"ENST00000431044.5"	"chr22"	19711061	19712294	"GP1BB"	"+"	"protein_coding"	"chr22"	19705991	19712295	"AC000093.1"	"+"	"nonsense_mediated_decay"	1233	"same"	"7146_ID"	"Septin5"	"Gp1bb"
"1664"	"ENST00000366425.4"	"ENST00000431044.5"	"chr22"	19711061	19712294	"GP1BB"	"+"	"protein_coding"	"chr22"	19705991	19712295	"AC000093.1"	"+"	"nonsense_mediated_decay"	1233	"same"	"7146_ID"	"Gm49601"	"Gp1bb"
"1672"	"ENST00000366553.3"	"ENST00000463155.5"	"chr1"	241792152	241803671	"CHML"	"-"	"protein_coding"	"chr1"	241757513	241840678	"OPN3"	"-"	"processed_transcript"	11519	"same"	"6640_ID"	"Opn3"	"Chml"
"1674"	"ENST00000366778.5"	"ENST00000366779.6"	"chr1"	227127986	227175245	"COQ8A"	"+"	"protein_coding"	"chr1"	227057884	227175246	"AL391628.1"	"+"	"nonsense_mediated_decay"	47259	"same"	"6692_ID"	"Psen2"	"Coq8a"
"1675"	"ENST00000366834.2"	"ENST00000486697.2"	"chr6"	167568734	167571468	"GPR31"	"-"	"protein_coding"	"chr6"	167562967	167585765	"TCP10L2"	"+"	"protein_coding"	2734	"opposite"	"7163_ID"	"Tcp10b"	"Gpr31b"
"1676"	"ENST00000366834.2"	"ENST00000486697.2"	"chr6"	167568734	167571468	"GPR31"	"-"	"protein_coding"	"chr6"	167562967	167585765	"TCP10L2"	"+"	"protein_coding"	2734	"opposite"	"7163_ID"	"Tcp10a"	"Gpr31b"
"1677"	"ENST00000366834.2"	"ENST00000486697.2"	"chr6"	167568734	167571468	"GPR31"	"-"	"protein_coding"	"chr6"	167562967	167585765	"TCP10L2"	"+"	"protein_coding"	2734	"opposite"	"7163_ID"	"Tcp10c"	"Gpr31b"
"1679"	"ENST00000367084.1"	"ENST00000411990.6"	"chr1"	207217193	207226325	"YOD1"	"-"	"protein_coding"	"chr1"	207207760	207252479	"PFKFB2"	"+"	"nonsense_mediated_decay"	9132	"opposite"	"12928_ID"	"Pfkfb2"	"Yod1"
"1680"	"ENST00000367084.1"	"ENST00000411990.6"	"chr1"	207217193	207226325	"YOD1"	"-"	"protein_coding"	"chr1"	207207760	207252479	"PFKFB2"	"+"	"nonsense_mediated_decay"	9132	"opposite"	"12928_ID"	"Gm29427"	"Yod1"
"1684"	"ENST00000367434.5"	"ENST00000367435.5"	"chr1"	193147859	193155743	"B3GALT2"	"-"	"protein_coding"	"chr1"	193091160	193223945	"CDC73"	"+"	"protein_coding"	7884	"opposite"	"6387_ID"	"Cdc73"	"B3galt2"
"1686"	"ENST00000367536.5"	"ENST00000495321.1"	"chr1"	183524697	183560011	"NCF2"	"-"	"protein_coding"	"chr1"	183519969	183567381	"SMG7"	"+"	"processed_transcript"	35315	"opposite"	"9239_ID"	"Smg7"	"Ncf2"
"1688"	"ENST00000367685.5"	"ENST00000251507.8"	"chr1"	174417101	174418683	"GPR52"	"+"	"protein_coding"	"chr1"	174128654	174927319	"RABGAP1L"	"+"	"protein_coding"	1582	"same"	"7165_ID"	"Rabgap1l"	"Gpr52"
"1691"	"ENST00000367935.10"	"ENST00000431696.1"	"chr1"	162342992	162346644	"SPATA46"	"-"	"protein_coding"	"chr1"	162335196	162351905	"AL512785.2"	"+"	"protein_coding"	3652	"opposite"	"12515_ID"	"Gm7694"	"Spata46"
"1693"	"ENST00000368090.5"	"ENST00000639408.1"	"chr1"	159994742	160001780	"PIGM"	"-"	"protein_coding"	"chr1"	159968440	160039926	"KCNJ10"	"-"	"protein_coding"	7038	"same"	"9554_ID"	"Kcnj10"	"Pigm"
"1696"	"ENST00000368195.4"	"ENST00000392302.7"	"chr1"	156809854	156828909	"INSRR"	"-"	"protein_coding"	"chr1"	156785447	156851642	"NTRK1"	"+"	"protein_coding"	19055	"opposite"	"7359_ID"	"Ntrk1"	"Insrr"
"1697"	"ENST00000368255.7"	"ENST00000413555.5"	"chr1"	156307104	156316786	"TSACC"	"+"	"protein_coding"	"chr1"	156288660	156337650	"CCT3"	"-"	"protein_coding"	9682	"opposite"	"12796_ID"	"Cct3"	"Tsacc"
"1698"	"ENST00000368272.5"	"ENST00000490491.5"	"chr1"	156211974	156213108	"BGLAP"	"+"	"protein_coding"	"chr1"	156182772	156213123	"PMF1-BGLAP"	"+"	"protein_coding"	1134	"same"	"6412_ID"	"Pmf1"	"Bglap"
"1699"	"ENST00000368272.5"	"ENST00000490491.5"	"chr1"	156211974	156213108	"BGLAP"	"+"	"protein_coding"	"chr1"	156182772	156213123	"PMF1-BGLAP"	"+"	"protein_coding"	1134	"same"	"6412_ID"	"Pmf1"	"Bglap2"
"1700"	"ENST00000368272.5"	"ENST00000490491.5"	"chr1"	156211974	156213108	"BGLAP"	"+"	"protein_coding"	"chr1"	156182772	156213123	"PMF1-BGLAP"	"+"	"protein_coding"	1134	"same"	"6412_ID"	"Pmf1"	"Bglap3"
"1701"	"ENST00000368279.7"	"ENST00000490491.5"	"chr1"	156182783	156209831	"PMF1"	"+"	"protein_coding"	"chr1"	156182772	156213123	"PMF1-BGLAP"	"+"	"protein_coding"	27050	"same"	"9590_ID"	"Pmf1"	"Pmf1"
"1702"	"ENST00000368599.4"	"ENST00000368602.4"	"chr6"	116832801	116845951	"CALHM5"	"+"	"protein_coding"	"chr6"	116816151	116866847	"TRAPPC3L"	"-"	"protein_coding"	13150	"opposite"	"6541_ID"	"Trappc3l"	"Calhm5"
"1703"	"ENST00000368607.8"	"ENST00000648921.1"	"chr1"	153940377	153946835	"CREB3L4"	"+"	"protein_coding"	"chr1"	153931626	153948363	"AL358472.7"	"-"	"nonsense_mediated_decay"	6828	"opposite"	"6713_ID"	"Jtb"	"Creb3l4"
"1705"	"ENST00000368713.8"	"ENST00000368714.1"	"chr1"	153519804	153521734	"S100A3"	"-"	"protein_coding"	"chr1"	153516096	153522612	"S100A4"	"-"	"protein_coding"	1930	"same"	"11984_ID"	"S100a4"	"Gm42674"
"1706"	"ENST00000368713.8"	"ENST00000368714.1"	"chr1"	153519804	153521734	"S100A3"	"-"	"protein_coding"	"chr1"	153516096	153522612	"S100A4"	"-"	"protein_coding"	1930	"same"	"11984_ID"	"S100a4"	"S100a3"
"1709"	"ENST00000368908.10"	"ENST00000602841.5"	"chr1"	151132223	151138378	"LYSMD1"	"-"	"protein_coding"	"chr1"	151129139	151141609	"SCNM1"	"+"	"protein_coding"	6201	"opposite"	"7894_ID"	"Scnm1"	"Lysmd1"
"1710"	"ENST00000368921.5"	"ENST00000439374.6"	"chr1"	151032872	151042020	"MLLT11"	"+"	"protein_coding"	"chr1"	151023446	151042801	"CDC42SE1"	"-"	"protein_coding"	9148	"opposite"	"9147_ID"	"Cdc42se1"	"Mllt11"
"1713"	"ENST00000369459.6"	"ENST00000476116.1"	"chrX"	154299773	154351347	"BRCC3"	"+"	"protein_coding"	"chrX"	154293437	154376212	"MTCP1"	"-"	"processed_transcript"	51658	"opposite"	"6431_ID"	"Mtcp1"	"Brcc3"
"1714"	"ENST00000369459.6"	"ENST00000476116.1"	"chrX"	154299773	154351347	"BRCC3"	"+"	"protein_coding"	"chrX"	154293437	154376212	"MTCP1"	"-"	"processed_transcript"	51658	"opposite"	"6431_ID"	"Mtcp1"	"Gm5136"
"1720"	"ENST00000369929.8"	"ENST00000599405.3"	"chrX"	153485224	153498755	"OPN1MW2"	"+"	"protein_coding"	"chrX"	153485202	153499470	"OPN1MW3"	"+"	"protein_coding"	13531	"same"	"9341_ID"	"Opn1mw"	"Opn1mw"
"1724"	"ENST00000370388.4"	"ENST00000423730.3"	"chr6"	73933266	73935219	"KHDC1L"	"-"	"protein_coding"	"chr6"	73919468	73972919	"AL365232.1"	"-"	"nonsense_mediated_decay"	2227	"same"	"7437_ID"	"Khdc1b"	"Khdc1a"
"1725"	"ENST00000370388.4"	"ENST00000423730.3"	"chr6"	73933266	73935219	"KHDC1L"	"-"	"protein_coding"	"chr6"	73919468	73972919	"AL365232.1"	"-"	"nonsense_mediated_decay"	2227	"same"	"7437_ID"	"Khdc1b"	"Khdc1b"
